cds_data/data_100000_20_15_u_10_ppgeh.txt
copyDataFile complete
cds_query/query_100000_20_15_u_10_ppgeh.txt
copyQueryFile complete
make complete
86840 : 1.70788   : 0.656456  >> 0.656456
48879 : 1.70235   : 0.592577  >> 0.592577
98208 : 1.70209   : 0.721023  >> 0.721023
29843 : 1.69765   : 0.766983  >> 0.766983
98837 : 1.67978   : 0.671913  >> 0.671913
80751 : 1.67198   : 0.666795  >> 0.666795
1858 : 1.66172   : 0.685367  >> 0.685367
24301 : 1.65327   : 0.84751  >> 0.84751
62948 : 1.63164   : 0.688657  >> 0.688657
92523 : 1.62922   : 0.881764  >> 0.881764
__________________
67739 : 1.829   : 0.514297  >> 0.514297
52321 : 1.82817   : 0.512061  >> 0.512061
81397 : 1.8273   : 0.520888  >> 0.520888
29843 : 1.82135   : 0.562965  >> 0.562965
98837 : 1.80288   : 0.546527  >> 0.546527
80751 : 1.79317   : 0.540227  >> 0.540227
1858 : 1.78472   : 0.554826  >> 0.554826
24301 : 1.77838   : 0.695277  >> 0.695277
62948 : 1.75556   : 0.638845  >> 0.638845
92523 : 1.74699   : 0.742813  >> 0.742813
__________________
86840 : 1.75089   : 0.693601  >> 0.693601
98208 : 1.74327   : 0.739746  >> 0.739746
48879 : 1.7418   : 0.654717  >> 0.654717
29843 : 1.74098   : 0.787513  >> 0.787513
98837 : 1.71921   : 0.76698  >> 0.76698
80751 : 1.70776   : 0.747404  >> 0.747404
1858 : 1.69475   : 0.781719  >> 0.781719
24301 : 1.69086   : 0.881783  >> 0.881783
92523 : 1.67304   : 0.922202  >> 0.922202
62948 : 1.65397   : 0.832542  >> 0.832542
__________________
68238 : 1.89727   : 0.676988  >> 0.676988
98208 : 1.89528   : 0.668507  >> 0.668507
52321 : 1.89524   : 0.69196  >> 0.69196
29843 : 1.88768   : 0.665079  >> 0.665079
80751 : 1.86825   : 0.693607  >> 0.693607
98837 : 1.86708   : 0.698528  >> 0.698528
24301 : 1.83726   : 0.806136  >> 0.806136
1858 : 1.83459   : 0.748949  >> 0.748949
92523 : 1.8183   : 0.794717  >> 0.794717
62948 : 1.81345   : 0.754988  >> 0.754988
__________________
67739 : 1.92385   : 0.55275  >> 0.55275
48879 : 1.9213   : 0.455503  >> 0.455503
52321 : 1.91972   : 0.558888  >> 0.558888
29843 : 1.90834   : 0.558887  >> 0.558887
98837 : 1.89364   : 0.550676  >> 0.550676
80751 : 1.88619   : 0.548597  >> 0.548597
1858 : 1.87001   : 0.578949  >> 0.578949
24301 : 1.86477   : 0.68202  >> 0.68202
62948 : 1.84435   : 0.60587  >> 0.60587
92523 : 1.8383   : 0.717831  >> 0.717831
__________________
52321 : 1.76971   : 0.668495  >> 0.668495
98208 : 1.76373   : 0.678662  >> 0.678662
29843 : 1.76006   : 0.701777  >> 0.701777
